CaseBarcode,CorepackBarcode,OrderId,RequestDate,Core Pack check,Result_DAQ,CH8_V,CH9_V,CH10_V,CH11_V,CH12_V,TempMaxThr,TempMinThr,VoltDiffThr,VoltMaxThr,VoltMinThr,Result_ETEST,ACIR,DCIR,OCVoltage,Ah,PackageTime
FR07254000001,7254000001,5112-20250923001,2025/12/31,PASS,PASS,3.496,3.5,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,5.85,2025/12/18 14:39:42
FR07254000002,7254000002,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,5.84,2025/12/09 12:24:22
FR07254000003,7254000003,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.497,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.029,0.052,17.49,5.84,2025/12/01 13:24:10
FR07254000004,7254000004,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.029,0.058,17.47,5.85,2025/12/08 13:18:36
FR07254000005,7254000005,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.498,3.497,3.497,3.499,35,15,0.005,4.2,3,PASS,0.029,0.052,17.48,5.85,2025/12/23 14:30:13
FR07254000006,7254000006,5112-20250923001,2025/12/31,PASS,PASS,3.497,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,5.85,2025/12/04 12:37:39
FR07254000007,7254000007,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.498,3.498,3.497,35,15,0.005,4.2,3,PASS,0.029,0.05,17.49,5.85,2025/12/29 10:54:03
FR07254000008,7254000008,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.501,3.501,3.501,3.501,35,15,0.005,4.2,3,PASS,0.029,0.054,17.5,5.88,2025/12/30 17:26:45
FR07254000009,7254000009,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,5.84,2025/12/02 10:48:38
FR07254000010,7254000010,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.497,3.497,3.497,35,15,0.005,4.2,3,PASS,0.028,0.05,17.49,5.85,2025/12/18 11:38:18
FR07254000011,7254000011,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.029,0.053,17.49,5.84,2025/12/05 15:21:55
FR07254000012,7254000012,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.501,3.5,3.501,35,15,0.005,4.2,3,PASS,0.029,0.051,17.5,5.84,2025/12/10 09:57:04
FR07254000013,7254000013,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.032,0.053,17.49,5.85,2025/12/16 13:43:59
FR07254000014,7254000014,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.051,17.49,5.84,2025/12/01 12:51:21
FR07254000015,7254000015,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.499,3.5,3.499,35,15,0.005,4.2,3,PASS,0.031,0.056,17.49,5.84,2025/12/05 15:52:56
FR07254000016,7254000016,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.498,3.498,35,15,0.005,4.2,3,PASS,0.03,0.053,17.49,5.83,2025/12/11 12:56:15
FR07254000017,7254000017,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.03,0.057,17.49,5.85,2025/12/02 12:54:44
FR07254000018,7254000018,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.028,0.054,17.48,5.84,2025/12/22 10:21:06
FR07254000019,7254000019,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.499,3.498,35,15,0.005,4.2,3,PASS,0.031,0.052,17.49,5.84,2025/12/15 14:50:32
FR07254000020,7254000020,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.497,3.498,3.499,35,15,0.005,4.2,3,PASS,0.029,0.051,17.49,5.85,2025/12/04 14:21:29
FR07254000021,7254000021,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.498,35,15,0.005,4.2,3,PASS,0.03,0.052,17.49,5.85,2025/12/11 10:47:55
FR07254000022,7254000022,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.052,17.49,5.88,2025/12/17 10:57:46
FR07254000023,7254000023,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.497,3.499,3.498,3.498,35,15,0.005,4.2,3,PASS,0.03,0.052,17.48,5.84,2025/12/09 16:00:29
FR07254000024,7254000024,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.03,0.053,17.49,5.85,2025/12/16 14:10:04
FR07254000025,7254000025,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.498,3.499,35,15,0.005,4.2,3,PASS,0.03,0.052,17.49,5.84,2025/12/11 13:00:06
FR07254000026,7254000026,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.498,3.497,35,15,0.005,4.2,3,PASS,0.03,0.053,17.49,5.84,2025/12/29 10:03:07
FR07254000027,7254000027,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.053,17.49,5.85,2025/12/11 17:09:09
FR07254000028,7254000028,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.499,3.499,3.5,35,15,0.005,4.2,3,PASS,0.032,0.054,17.49,5.84,2025/12/29 14:51:18
FR07254000029,7254000029,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.5,3.499,3.5,35,15,0.005,4.2,3,PASS,0.029,0.052,17.5,5.85,2025/12/09 16:43:06
FR07254000030,7254000030,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.498,3.499,35,15,0.005,4.2,3,PASS,0.031,0.051,17.48,5.84,2025/12/26 17:01:52
FR07254000031,7254000031,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.498,35,15,0.005,4.2,3,PASS,0.031,0.052,17.49,5.85,2025/12/01 13:44:26
FR07254000032,7254000032,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.051,17.49,5.84,2025/12/30 12:36:20
FR07254000033,7254000033,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.498,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.054,17.49,5.84,2025/12/30 17:12:41
FR07254000034,7254000034,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.498,3.499,35,15,0.005,4.2,3,PASS,0.031,0.053,17.49,5.84,2025/12/15 13:09:07
FR07254000035,7254000035,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.5,3.498,35,15,0.005,4.2,3,PASS,0.03,0.054,17.49,5.85,2025/12/04 17:05:45
FR07254000036,7254000036,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.498,3.5,35,15,0.005,4.2,3,PASS,0.031,0.052,17.49,5.85,2025/12/17 13:14:10
FR07254000037,7254000037,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.029,0.052,17.47,5.85,2025/12/01 13:50:55
FR07254000038,7254000038,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.498,3.5,3.499,35,15,0.005,4.2,3,PASS,0.03,0.055,17.48,5.85,2025/12/02 17:19:53
FR07254000039,7254000039,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.032,0.056,17.49,5.88,2025/12/08 09:49:15
FR07254000040,7254000040,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.499,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.056,17.49,5.84,2025/12/29 15:31:14
FR07254000041,7254000041,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.498,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.029,0.059,17.49,5.85,2025/12/08 16:59:38
FR07254000042,7254000042,5112-20250923001,2025/12/31,PASS,PASS,3.498,3.5,3.499,3.499,3.499,35,15,0.005,4.2,3,PASS,0.03,0.052,17.49,5.84,2025/12/17 15:03:08
